,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Clearing Price,Emissions Rolling,Supply Rolling
789,940119,10016194,42,66299,77601,345,829363,772824,22.4803853189106,944553.04,10041946.1
790,939753,10012711,42,66299,77601,342,829363,772824,22.43171756061152,944477.75,10041586.69
791,939409,10009419,41,66299,77601,339,829363,772824,22.434500123430553,944403.66,10041238.71
792,938997,10005374,41,66299,77601,336,829363,772824,22.492541759239582,944329.79,10040892.64
793,938613,10001690,41,66299,77601,333,829363,772824,22.5836920337154,944256.68,10040553.53
794,938230,9997995,35,66299,77601,281,829363,772824,22.580626168143695,944184.33,10040220.59
795,946852,10090658,34,66967,78381,280,837653,780550,28.675112131588044,944202.67,10040858.44
796,946327,10085479,34,66967,78366,278,837653,780397,27.052087884076155,944220.06,10041485.28
797,945887,10081097,34,66967,78351,276,837653,780245,25.860494484485688,944237.34,10042110.17
798,945444,10076803,34,66967,78306,274,837653,779799,24.940367505405906,944254.49,10042733.61
799,945027,10072721,33,66967,78246,272,837653,779193,24.252426239637877,944271.63,10043356.15
800,944588,10068490,33,66967,78171,270,837653,778452,23.659907915022526,944288.93,10043980.53
801,944155,10064310,33,66967,78217,268,837653,778907,23.20432529277068,944306.43,10044606.34
802,943750,10060358,33,66967,78189,266,837653,778617,23.02824396957801,944324.42,10045235.94
803,943330,10056268,32,66967,78187,264,837653,778601,22.719125882305256,944252.44,10044906.0
804,942919,10052226,32,66967,78202,262,837653,778751,22.483788856173387,944182.07,10044591.32
805,942506,10048200,32,66967,78202,260,837653,778751,22.48784164213004,944112.27,10044282.25
806,942100,10044205,32,66967,78202,258,837653,778751,22.42838123159753,944042.98,10043978.49
807,941692,10040431,31,66967,78202,256,837653,778751,22.27724024669978,943974.48,10043683.19
808,941299,10036553,31,66967,78188,254,837653,778613,22.15155582982955,943906.83,10043395.66
809,940908,10032716,31,66967,78175,252,837653,778476,22.113666872372164,943839.76,10043113.71
810,940499,10028818,31,66967,78178,250,837653,778501,22.085250154279123,943773.05,10042835.41
811,940123,10025118,30,66967,78174,248,837653,778472,22.27533826717514,943707.06,10042563.2
812,939727,10021334,30,66967,78158,246,837653,778311,22.269003700381354,943641.71,10042297.17
813,939338,10017566,30,66967,78157,244,837653,778307,22.28508610861935,943576.9,10042036.83
814,938979,10014141,30,66967,78125,242,837653,777993,22.33881458146451,943512.89,10041783.92
815,938620,10010606,30,66967,78094,240,837653,777682,25.346502295436608,943449.72,10041538.19
816,938217,10006809,29,66967,78063,238,837653,777374,24.72416243586317,943386.95,10041297.24
817,937819,10002894,29,66967,78032,236,837653,777069,24.185978969754522,943324.39,10041057.33
818,937419,9998964,29,66967,78002,234,837653,776767,23.782341370173036,943261.77,10040815.67
