,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Clearing Price,Emissions Rolling,Supply Rolling,Clearing Price Rolling
957,935072,9998605,8,69392,80626,68,864001,804960,34.40100261015331,939053.94,10023842.47,30.709615484368854
958,939981,10051655,8,69796,81125,67,868981,809900,40.087789560562946,939055.73,10024223.66,30.873713562350872
959,939541,10047414,8,69796,81125,66,868981,809900,35.76611841351613,939057.0,10024599.93,30.9503400271577
960,939191,10043949,8,69796,81125,65,868981,809900,32.68645161693382,939058.61,10024978.23,30.953063285773997
961,938818,10040302,8,69796,81125,64,868981,809900,30.15456572419462,939060.49,10025359.14,30.889617651604176
962,938456,10036776,7,69796,81125,63,868981,809900,28.106364063700457,939062.78,10025743.51,30.753009880030582
963,938105,10033351,7,69796,81125,62,868981,809900,26.700778964935107,939014.39,10025583.34,30.55757644274154
964,937759,10029977,7,69796,81125,61,868981,809900,25.68039452180431,938966.98,10025433.06,30.411109414172397
965,937413,10026552,7,69796,81125,60,868981,809900,24.99143650692354,938920.07,10025286.14,30.30337438101803
966,937059,10023121,7,69796,81125,59,868981,809900,24.24674444274214,938873.45,10025142.49,30.22245184559678
967,936712,10019745,7,69796,81125,58,868981,809900,23.86626638574788,938827.37,10025004.03,30.162894562571722
968,936357,10016312,7,69796,81142,57,868981,810071,23.70674467709146,938781.67,10024869.68,30.12127770682097
969,936032,10013126,7,69796,81160,56,868981,810244,28.274473488182657,938736.5,10024739.42,30.140075694867527
970,935697,10009815,7,69796,81177,55,868981,810418,32.501826209041816,938691.59,10024612.3,30.211329793588607
971,935356,10006538,6,69796,81195,54,868981,810594,36.46105684423067,938647.25,10024489.86,30.329246729106934
972,934996,10002945,6,69796,81177,53,868981,810416,40.16596082355365,938603.0,10024367.69,30.48948987514214
973,934627,9999385,6,69796,81159,52,868981,810240,43.848611001286436,938558.75,10024245.49,30.66571620093651
974,939467,10051227,6,70045,81592,51,872101,814568,48.95820087340529,938566.56,10024676.88,30.875349642884153
975,939029,10046986,6,70045,81591,50,872101,814561,42.338473140261065,938573.94,10025104.21,31.0042261707978
976,938657,10043435,0,70045,81572,0,872101,814371,37.36765413834992,938581.51,10025534.03,31.06985189497182
977,938298,10039858,0,70045,81508,0,872101,813737,33.58551346688258,938589.32,10025965.7,31.084933627079113
978,937935,10036304,0,70045,81446,0,872101,813110,30.712056860553133,938545.23,10025842.43,31.0123921224977
979,937557,10032580,0,70045,81429,0,872101,812956,28.737841743933846,938501.82,10025724.85,30.959229809004476
